Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
529041.9572254,-750000.125,91563.5703125,-750000.125,-234948.234375,91913.7734375,92014.5390625,-750000.125,-750000.125,-0.3544921875,0.935302734375,-0.0869140625,0.2746581733226776,2.288818120956421,0.4272460639476776,73.33333587646484,833050.0,1.0
529041.9714173,-750000.125,91670.3203125,-750000.125,-235033.25,92018.0234375,92118.515625,-750000.125,-750000.125,-0.353271484375,0.93359375,-0.084716796875,0.3051757514476776,2.227782964706421,0.5187987685203552,73.33333587646484,833051.0,1.0
529041.9714655,-750000.125,91573.1328125,-750000.125,-234594.0,91932.1953125,92031.4375,-750000.125,-750000.125,-0.35107421875,0.9326171875,-0.084228515625,0.3051757514476776,2.227782964706421,0.4882812201976776,73.33333587646484,833052.0,1.0
529041.9733291,-750000.125,91467.1875,-750000.125,-234246.828125,91836.8828125,91935.59375,-750000.125,-750000.125,-0.3505859375,0.931884765625,-0.0830078125,0.1525878757238388,2.288818120956421,0.3967284858226776,73.33333587646484,833053.0,1.0
529041.9755429,-750000.125,91539.0703125,-750000.125,-234480.625,91902.953125,92002.734375,-750000.125,-750000.125,-0.35107421875,0.93408203125,-0.08349609375,0.2441406100988388,2.319335699081421,0.0915527269244194,73.33333587646484,833054.0,1.0
529041.9794154,-750000.125,91746.765625,-750000.125,-234980.953125,92096.8828125,92197.640625,-750000.125,-750000.125,-0.35107421875,0.932861328125,-0.08203125,0.3662109076976776,2.380370855331421,-0.03051757626235485,73.33333587646484,833055.0,1.0
529041.99526,-750000.125,91854.40625,-750000.125,-235065.625,92201.6640625,92302.0703125,-750000.125,-750000.125,-0.351806640625,0.930908203125,-0.083984375,0.6408690810203552,2.563476324081421,-0.2746581733226776,73.33333587646484,833056.0,1.0
529041.9953081,-750000.125,91757.046875,-750000.125,-234624.9375,92116.015625,92215.078125,-750000.125,-750000.125,-0.35205078125,0.93017578125,-0.0830078125,0.7019042372703552,2.502441167831421,-0.4882812201976776,73.33333587646484,833057.0,1.0
529041.9968324,-750000.125,91652.53125,-750000.125,-234277.5,92022.046875,92120.5703125,-750000.125,-750000.125,-0.352294921875,0.9296875,-0.082763671875,0.9765624403953552,2.655029058456421,-0.5187987685203552,73.33333587646484,833058.0,1.0
529041.9994208,-750000.125,91726.109375,-750000.125,-234511.109375,92089.546875,92189.234375,-750000.125,-750000.125,-0.353515625,0.930908203125,-0.080322265625,1.0375975370407104,2.685546636581421,-0.7019042372703552,73.33333587646484,833059.0,1.0
529042.0018385,-750000.125,91934.3359375,-750000.125,-235010.984375,92284.0078125,92385.0390625,-750000.125,-750000.125,-0.35400390625,0.930419921875,-0.080810546875,1.2207030057907104,2.685546636581421,-0.6103515028953552,73.33333587646484,833060.0,1.0
529042.0045272,-750000.125,92041.8046875,-750000.125,-235095.390625,92388.9765625,92489.8203125,-750000.125,-750000.125,-0.35302734375,0.931884765625,-0.08203125,1.3732908964157104,2.655029058456421,-0.6408690810203552,73.33333587646484,833061.0,1.0
529042.0089865,-750000.125,91944.6171875,-750000.125,-234655.0625,92303.3203125,92402.7421875,-750000.125,-750000.125,-0.35302734375,0.932373046875,-0.08154296875,1.3122557401657104,2.746581792831421,-0.7019042372703552,73.33333587646484,833062.0,1.0
529042.0090366,-750000.125,91842.7890625,-750000.125,-234309.421875,92212.125,92310.828125,-750000.125,-750000.125,-0.3544921875,0.933837890625,-0.086669921875,1.2817381620407104,2.838134527206421,-0.7324218153953552,73.33333587646484,833063.0,1.0
529042.0192772,-750000.125,91915.5625,-750000.125,-234541.875,92278.9140625,92378.515625,-750000.125,-750000.125,-0.357177734375,0.93310546875,-0.08642578125,1.1596678495407104,2.777099370956421,-0.6103515028953552,73.33333587646484,833064.0,1.0
529042.022656,-750000.125,92123.5234375,-750000.125,-235042.546875,92472.9296875,92573.8671875,-750000.125,-750000.125,-0.3583984375,0.933349609375,-0.087890625,1.0070799589157104,2.746581792831421,-0.4577636420726776,73.33333587646484,833065.0,1.0
